,Time,EMG_zyg,EMG_cor
14910,7.4555,-0.02746582,-0.007324219
14911,7.456,-0.029907227,-0.006408691
14912,7.4565,-0.040893555,-0.003967285
14913,7.457,-0.039672852,-0.000915527
14914,7.4575,-0.034484863,0.001525879
14915,7.458,-0.03326416,0.001220703
14916,7.4585,-0.030517578,0.000610352
14917,7.459,-0.024719238,0.002441406
14918,7.4595,-0.025939941,0.00213623
14919,7.46,-0.018310547,0.002746582
14920,7.4605,-0.008850098,0.004272461
14921,7.461,-0.002441406,0.00579834
14922,7.4615,0.006103516,0.006408691
14923,7.462,0.013427734,0.004882813
14924,7.4625,0.014953613,0.004577637
14925,7.463,0.02166748,0.007629395
14926,7.4635,0.029907227,0.014038086
14927,7.464,0.041503906,0.01739502
14928,7.4645,0.045471191,0.01373291
14929,7.465,0.038146973,0.010070801
14930,7.4655,0.035400391,0.008239746
14931,7.466,0.039978027,0.014038086
14932,7.4665,0.0390625,0.016174316
14933,7.467,0.031738281,0.013122559
14934,7.4675,0.031738281,0.00793457
14935,7.468,0.036010742,0.00793457
14936,7.4685,0.036621094,0.007019043
14937,7.469,0.029296875,0.004577637
14938,7.4695,0.025024414,0.002746582
14939,7.47,0.024108887,-0.000305176
14940,7.4705,0.017089844,-0.001220703
14941,7.471,0.003662109,-0.000305176
14942,7.4715,-0.003662109,-0.003662109
14943,7.472,-0.005493164,-0.006408691
14944,7.4725,-0.014343262,-0.005493164
14945,7.473,-0.020446777,-0.003967285
14946,7.4735,-0.030822754,-0.003356934
14947,7.474,-0.0390625,-0.003051758
14948,7.4745,-0.041503906,-0.003356934
14949,7.475,-0.035400391,-0.001831055
14950,7.4755,-0.030517578,-0.001220703
14951,7.476,-0.037231445,-0.000305176
14952,7.4765,-0.043334961,-0.00213623
14953,7.477,-0.035400391,-0.004272461
14954,7.4775,-0.030517578,-0.003967285
14955,7.478,-0.029907227,-0.002746582
14956,7.4785,-0.025634766,-0.003967285
14957,7.479,-0.020141602,-0.002441406
14958,7.4795,-0.024719238,-0.001525879
14959,7.48,-0.029296875,0.0
14960,7.4805,-0.022583008,0.0
14961,7.481,-0.016784668,0.002441406
14962,7.4815,-0.003967285,0.003662109
14963,7.482,-0.001220703,0.00579834
14964,7.4825,0.006103516,0.00213623
14965,7.483,0.012512207,0.001220703
14966,7.4835,0.014648438,0.003051758
14967,7.484,0.018920898,0.003967285
14968,7.4845,0.027770996,0.00213623
14969,7.485,0.021362305,0.002441406
14970,7.4855,0.020446777,0.006103516
14971,7.486,0.030822754,0.006103516
14972,7.4865,0.039367676,0.010070801
14973,7.487,0.034790039,0.011291504
14974,7.4875,0.032348633,0.008850098
14975,7.488,0.038146973,0.010681152
14976,7.4885,0.036010742,0.008544922
14977,7.489,0.026245117,0.007019043
14978,7.4895,0.022277832,0.008850098
14979,7.49,0.01953125,0.006103516
14980,7.4905,0.007324219,0.004272461
14981,7.491,-0.000915527,0.003662109
14982,7.4915,0.000305176,0.003356934
14983,7.492,0.000305176,0.003662109
14984,7.4925,-0.002441406,0.00213623
14985,7.493,-0.003356934,0.003356934
14986,7.4935,-0.010375977,0.004272461
14987,7.494,-0.019836426,0.003356934
14988,7.4945,-0.02746582,0.001220703
14989,7.495,-0.021972656,-0.001220703
14990,7.4955,-0.021057129,-0.003967285
14991,7.496,-0.023193359,-0.002746582
14992,7.4965,-0.025634766,-0.005493164
14993,7.497,-0.020446777,-0.00793457
14994,7.4975,-0.017089844,-0.008544922
14995,7.498,-0.025939941,-0.009155273
14996,7.4985,-0.036010742,-0.009155273
14997,7.499,-0.040283203,-0.009765625
14998,7.4995,-0.038757324,-0.008850098
14999,7.5,-0.031738281,-0.007629395
15000,7.5005,-0.020141602,-0.005493164
15001,7.501,-0.01159668,-0.005187988
15002,7.5015,-0.008850098,-0.00213623
15003,7.502,-0.007324219,-0.001831055
15004,7.5025,0.001525879,0.000305176
15005,7.503,0.007019043,-0.000610352
15006,7.5035,0.016784668,0.003356934
15007,7.504,0.024108887,0.006713867
15008,7.5045,0.022277832,0.008850098
15009,7.505,0.015869141,0.010070801
15010,7.5055,0.013122559,0.009155273
15011,7.506,0.021972656,0.00793457
15012,7.5065,0.036621094,0.007324219
15013,7.507,0.0390625,0.006408691
15014,7.5075,0.037536621,0.005187988
15015,7.508,0.043029785,0.007019043
15016,7.5085,0.036010742,0.004882813
15017,7.509,0.025024414,0.000915527
15018,7.5095,0.017700195,0.001220703
15019,7.51,0.013427734,0.001831055
15020,7.5105,0.00579834,0.003967285
15021,7.511,-0.000305176,0.003051758
15022,7.5115,-0.006103516,0.004882813
15023,7.512,-0.006103516,0.004882813
15024,7.5125,-0.007324219,0.001831055
15025,7.513,-0.008239746,0.001220703
15026,7.5135,-0.00793457,0.000610352
15027,7.514,-0.013122559,-0.001220703
15028,7.5145,-0.01739502,-0.003356934
15029,7.515,-0.015258789,-0.003967285
15030,7.5155,-0.014038086,-0.003051758
15031,7.516,-0.021972656,-0.003662109
15032,7.5165,-0.028076172,-0.007629395
15033,7.517,-0.02532959,-0.007324219
15034,7.5175,-0.02166748,-0.005493164
15035,7.518,-0.026245117,-0.003356934
15036,7.5185,-0.024719238,-0.003967285
15037,7.519,-0.02166748,-0.003967285
15038,7.5195,-0.025024414,-0.003967285
15039,7.52,-0.016479492,-0.001220703
15040,7.5205,-0.006408691,-0.00213623
15041,7.521,-0.001831055,-0.001220703
15042,7.5215,0.003967285,0.0
15043,7.522,0.01373291,0.0
15044,7.5225,0.019836426,-0.000305176
15045,7.523,0.025939941,-0.000915527
15046,7.5235,0.028076172,-0.001831055
15047,7.524,0.028991699,-0.001220703
15048,7.5245,0.027160645,-0.002746582
15049,7.525,0.022583008,-0.003662109
15050,7.5255,0.018920898,-0.002441406
15051,7.526,0.02532959,-0.000610352
15052,7.5265,0.032958984,0.001831055
15053,7.527,0.030212402,0.003662109
15054,7.5275,0.024719238,0.003051758
15055,7.528,0.021972656,0.004577637
15056,7.5285,0.013427734,0.006103516
15057,7.529,0.011291504,0.004577637
15058,7.5295,0.007019043,0.004577637
15059,7.53,0.00213623,0.003051758
15060,7.5305,0.000610352,0.001525879
15061,7.531,-0.00213623,0.00213623
15062,7.5315,-0.00793457,-0.000610352
15063,7.532,-0.006713867,-0.000915527
15064,7.5325,-0.011291504,-0.000915527
15065,7.533,-0.015869141,-0.00213623
15066,7.5335,-0.018615723,-0.002746582
15067,7.534,-0.021972656,-0.005187988
15068,7.5345,-0.020141602,-0.006103516
15069,7.535,-0.009155273,-0.00579834
15070,7.5355,-0.003662109,-0.003662109
15071,7.536,-0.010070801,-0.004577637
15072,7.5365,-0.01953125,-0.006408691
15073,7.537,-0.018005371,-0.005493164
15074,7.5375,-0.01739502,-0.004272461
15075,7.538,-0.024719238,-0.00213623
15076,7.5385,-0.023193359,-0.003967285
15077,7.539,-0.021972656,-0.002746582
15078,7.5395,-0.022277832,0.000610352
15079,7.54,-0.01373291,0.000305176
15080,7.5405,-0.005187988,-0.001220703
15081,7.541,0.000610352,-0.00579834
15082,7.5415,0.003051758,-0.007629395
15083,7.542,0.002746582,-0.010681152
15084,7.5425,0.007629395,-0.010375977
15085,7.543,0.009765625,-0.008239746
15086,7.5435,0.010986328,-0.006408691
15087,7.544,0.020446777,-0.002441406
15088,7.5445,0.03112793,0.004577637
15089,7.545,0.029602051,0.006103516
15090,7.5455,0.023803711,0.005493164
15091,7.546,0.028686523,0.008239746
15092,7.5465,0.032958984,0.008239746
15093,7.547,0.024108887,0.009460449
15094,7.5475,0.020141602,0.009460449
15095,7.548,0.024719238,0.010375977
15096,7.5485,0.026245117,0.009460449
15097,7.549,0.021362305,0.008850098
15098,7.5495,0.024719238,0.007324219
15099,7.55,0.016174316,0.004577637
15100,7.5505,0.007324219,0.003051758
15101,7.551,0.002746582,0.000305176
15102,7.5515,-0.001831055,-0.001831055
15103,7.552,-0.003662109,-0.001525879
15104,7.5525,-0.008850098,-0.000305176
15105,7.553,-0.008544922,-0.000305176
15106,7.5535,-0.009765625,-0.000305176
15107,7.554,-0.012207031,-0.003967285
15108,7.5545,-0.018615723,-0.006408691
15109,7.555,-0.020446777,-0.00579834
15110,7.5555,-0.024719238,-0.001831055
15111,7.556,-0.030822754,-0.001220703
15112,7.5565,-0.0390625,0.000610352
15113,7.557,-0.033874512,0.00579834
15114,7.5575,-0.026550293,0.004882813
15115,7.558,-0.027770996,0.004272461
15116,7.5585,-0.020751953,0.003967285
