Time,EMG_zyg,EMG_cor
0.1685,0.022583008,0.010070801
0.169,0.021057129,0.001831055
0.1695,0.018920898,0.003356934
0.17,0.010986328,0.001831055
0.1705,0.002441406,0.003356934
0.171,-0.004272461,0.005493164
0.1715,-0.007019043,0.00579834
0.172,-0.012817383,0.008239746
0.1725,-0.015869141,0.010070801
0.173,-0.018005371,0.010070801
0.1735,-0.022888184,0.004882813
0.174,-0.028686523,0
0.1745,-0.026550293,-0.001220703
0.175,-0.02532959,-0.001525879
0.1755,-0.032958984,0.002441406
0.176,-0.038146973,0.002746582
0.1765,-0.030822754,0.004577637
0.177,-0.025634766,0.000915527
0.1775,-0.028991699,-0.010070801
0.178,-0.02532959,-0.016174316
0.1785,-0.027160645,-0.017089844
0.179,-0.028076172,-0.016784668
0.1795,-0.021362305,-0.014953613
0.18,-0.01373291,-0.016784668
0.1805,-0.007019043,-0.014038086
0.181,-0.000305176,-0.017089844
0.1815,0.004882813,-0.013427734
0.182,0.00793457,-0.007324219
0.1825,0.012207031,-0.006103516
0.183,0.014953613,-0.002441406
0.1835,0.01739502,0.009460449
0.184,0.025024414,0.018310547
0.1845,0.028381348,0.018920898
0.185,0.022888184,0.016174316
0.1855,0.029296875,0.011901855
0.186,0.032653809,0.00579834
0.1865,0.025634766,0.001831055
0.187,0.019836426,0
0.1875,0.022277832,-0.001220703
0.188,0.018005371,-0.000305176
0.1885,0.016174316,-0.002441406
0.189,0.015563965,0
0.1895,0.008544922,-0.00213623
0.19,0.000305176,-0.006103516
0.1905,0.001220703,-0.010681152
0.191,-0.001220703,-0.012817383
0.1915,-0.003967285,-0.013122559
0.192,-0.010375977,-0.013122559
0.1925,-0.013427734,-0.010986328
0.193,-0.014038086,-0.009155273
0.1935,-0.017089844,-0.012512207
0.194,-0.023498535,-0.015258789
0.1945,-0.024108887,-0.013427734
0.195,-0.024719238,-0.009765625
0.1955,-0.03112793,-0.00213623
0.196,-0.036315918,0
0.1965,-0.029602051,-0.000610352
0.197,-0.023803711,-0.001525879
0.1975,-0.025634766,-0.003356934
0.198,-0.021362305,-0.009765625
0.1985,-0.022583008,-0.011291504
0.199,-0.01953125,-0.010070801
0.1995,-0.008850098,-0.003967285
0.2,0,0.003051758
0.2005,0,0.001525879
0.201,0.000305176,-0.00213623
0.2015,0.001525879,-0.001220703
0.202,0.006408691,-0.001220703
0.2025,0.006408691,0.002746582
0.203,0.008850098,0.007324219
0.2035,0.014953613,0.013122559
0.204,0.023193359,0.015563965
0.2045,0.021057129,0.01159668
0.205,0.018920898,0.003662109
0.2055,0.028381348,0.004577637
